filename,mos
7000580898.jpg,4.12745098039216
10921653346.jpg,4.04587155963303
2044507520.jpg,4.04587155963303
9048453025.jpg,4.01834862385321
7108939139.jpg,3.99082568807339
9256620726.jpg,3.99074074074074
136948336.jpg,3.9811320754717
141087919.jpg,3.97979797979798
8639811289.jpg,3.97321428571429
10680502673.jpg,3.97196261682243
6729759239.jpg,3.97029702970297
432860543.jpg,3.96078431372549
3773463532.jpg,3.95283018867925
9438182965.jpg,3.95145631067961
5775598450.jpg,3.94230769230769
8728715575.jpg,3.94117647058824
9991999836.jpg,3.92079207920792
9042624878.jpg,3.91509433962264
8707214366.jpg,3.91428571428571
2941933060.jpg,3.91228070175439
7914714726.jpg,3.91089108910891
8995226934.jpg,3.91089108910891
7731352704.jpg,3.90909090909091
5097068931.jpg,3.90740740740741
8438721601.jpg,3.89908256880734
5906952351.jpg,3.89719626168224
6346994570.jpg,3.89622641509434
4619633197.jpg,3.8952380952381
8274584258.jpg,3.8952380952381
6003444578.jpg,3.8921568627451
5454884110.jpg,3.88571428571429
11269626135.jpg,3.88349514563107
8909034593.jpg,3.87735849056604
7283094026.jpg,3.87619047619048
10366373284.jpg,3.875
10325321.jpg,3.875
6343064519.jpg,3.87128712871287
4281731487.jpg,3.86868686868687
10866561184.jpg,3.86666666666667
6216628901.jpg,3.86138613861386
8189076643.jpg,3.86138613861386
6344902938.jpg,3.85714285714286
9594906572.jpg,3.85576923076923
6185806763.jpg,3.85087719298246
9249272493.jpg,3.85087719298246
9269537075.jpg,3.85046728971963
9655773082.jpg,3.84848484848485
5726241150.jpg,3.84761904761905
11321228905.jpg,3.8411214953271
3253636665.jpg,3.83928571428571
5241841036.jpg,3.83928571428571
8401416435.jpg,3.83333333333333
7029108053.jpg,3.83018867924528
9379457487.jpg,3.82857142857143
10004473376.jpg,3.82857142857143
1360663704.jpg,3.82727272727273
10362672006.jpg,3.82692307692308
6230011878.jpg,3.8265306122449
313424539.jpg,3.82407407407407
3362731032.jpg,3.82075471698113
4495630749.jpg,3.81818181818182
3255665645.jpg,3.81308411214953
6307302399.jpg,3.80769230769231
9408208696.jpg,3.80582524271845
2261421219.jpg,3.8019801980198
5470588240.jpg,3.8
5511925995.jpg,3.79816513761468
4881913692.jpg,3.7962962962963
10218118033.jpg,3.79439252336449
5095300668.jpg,3.79279279279279
6256829619.jpg,3.7906976744186
4524766514.jpg,3.79047619047619
9723836931.jpg,3.78846153846154
5914848066.jpg,3.78378378378378
8608242752.jpg,3.78
5460394455.jpg,3.77570093457944
7215678842.jpg,3.77477477477477
7255289130.jpg,3.77450980392157
7203865570.jpg,3.77358490566038
11172371243.jpg,3.77227722772277
6118760299.jpg,3.76923076923077
6915781600.jpg,3.76923076923077
4305975001.jpg,3.76470588235294
8493065081.jpg,3.76470588235294
6109808754.jpg,3.76146788990826
7329465526.jpg,3.76
4194428227.jpg,3.75961538461538
4493244545.jpg,3.75925925925926
7819353184.jpg,3.75490196078431
8774523686.jpg,3.75471698113208
7005136305.jpg,3.75438596491228
3581381105.jpg,3.75
6845848072.jpg,3.74774774774775
9159337218.jpg,3.74545454545455
11273190884.jpg,3.74545454545455
8911411937.jpg,3.74528301886792
4972378781.jpg,3.74528301886792
6679121211.jpg,3.74528301886792
8841313273.jpg,3.74509803921569
132921013.jpg,3.74509803921569
10327985614.jpg,3.74311926605505
2808286292.jpg,3.74285714285714
234944177.jpg,3.74285714285714
4710464067.jpg,3.74257425742574
11369797883.jpg,3.74
5022600998.jpg,3.73831775700935
107799222.jpg,3.73529411764706
8035433785.jpg,3.73267326732673
7365538478.jpg,3.72815533980583
8657980323.jpg,3.72815533980583
6191653562.jpg,3.72641509433962
9442161547.jpg,3.72477064220183
5856265647.jpg,3.72380952380952
2362202039.jpg,3.72173913043478
2785267250.jpg,3.72
8096129179.jpg,3.72
3815098207.jpg,3.7196261682243
5943227958.jpg,3.71698113207547
5677116051.jpg,3.71559633027523
4344642946.jpg,3.71428571428571
4251971063.jpg,3.71134020618557
7734376776.jpg,3.71028037383178
8675742263.jpg,3.70873786407767
10446810546.jpg,3.70642201834862
9641836616.jpg,3.70634920634921
11293946974.jpg,3.7029702970297
4180311266.jpg,3.70192307692308
10828395135.jpg,3.70093457943925
4185039279.jpg,3.70093457943925
8086991348.jpg,3.69811320754717
6010335101.jpg,3.69369369369369
318700026.jpg,3.69369369369369
4992884384.jpg,3.69026548672566
8704133333.jpg,3.69
9188509301.jpg,3.68867924528302
8636811972.jpg,3.68807339449541
8645927718.jpg,3.68224299065421
6870048801.jpg,3.67924528301887
2937190977.jpg,3.67619047619048
6862989864.jpg,3.67619047619048
10069534975.jpg,3.67592592592593
8975077146.jpg,3.67567567567568
2990464677.jpg,3.67567567567568
5622618497.jpg,3.67289719626168
5310130081.jpg,3.66990291262136
10953973716.jpg,3.66990291262136
7125596297.jpg,3.66964285714286
5175429795.jpg,3.66666666666667
3320115265.jpg,3.66666666666667
7154088130.jpg,3.66355140186916
10615424764.jpg,3.66346153846154
3662997757.jpg,3.66086956521739
3961459513.jpg,3.66019417475728
362290262.jpg,3.66
8546536299.jpg,3.65740740740741
10597114264.jpg,3.65714285714286
8242266673.jpg,3.65656565656566
8441623412.jpg,3.6551724137931
5796747370.jpg,3.64761904761905
4237536969.jpg,3.64492753623188
9255279783.jpg,3.64485981308411
6061284714.jpg,3.64423076923077
9522817562.jpg,3.64356435643564
3812926720.jpg,3.64356435643564
1519242706.jpg,3.64150943396226
2964711556.jpg,3.64077669902913
7608025600.jpg,3.64
8715753944.jpg,3.63963963963964
1573719804.jpg,3.63963963963964
3921589638.jpg,3.63461538461538
9474360756.jpg,3.62962962962963
11215941184.jpg,3.62857142857143
10899733355.jpg,3.62790697674419
2517718928.jpg,3.6260162601626
8201445603.jpg,3.625
3026852045.jpg,3.62376237623762
9408400121.jpg,3.62280701754386
9530922505.jpg,3.62244897959184
9646156379.jpg,3.62
6787512667.jpg,3.61764705882353
8450836581.jpg,3.61682242990654
4563172093.jpg,3.61616161616162
2313971368.jpg,3.61538461538462
5971762123.jpg,3.61320754716981
2852488757.jpg,3.61261261261261
8191059336.jpg,3.60975609756098
8135725807.jpg,3.60952380952381
7380460592.jpg,3.60909090909091
10423472445.jpg,3.60909090909091
3367220434.jpg,3.6078431372549
8333683532.jpg,3.60747663551402
9054377711.jpg,3.60576923076923
7744803492.jpg,3.60550458715596
6757989209.jpg,3.60550458715596
7622984342.jpg,3.6039603960396
9527980922.jpg,3.6039603960396
11159983896.jpg,3.60377358490566
4551794095.jpg,3.60194174757282
9642841042.jpg,3.6
2839494557.jpg,3.5981308411215
8532727626.jpg,3.59633027522936
8113498731.jpg,3.59259259259259
11250215644.jpg,3.59259259259259
5419962760.jpg,3.59223300970874
8638507719.jpg,3.59223300970874
5564570846.jpg,3.59
2578890441.jpg,3.58878504672897
5936297940.jpg,3.58878504672897
5906582267.jpg,3.58878504672897
9101418859.jpg,3.58823529411765
2236324282.jpg,3.58653846153846
3315237185.jpg,3.58415841584158
2152767186.jpg,3.58415841584158
6897314758.jpg,3.58252427184466
5621947330.jpg,3.58208955223881
4228738752.jpg,3.58095238095238
7751952772.jpg,3.57522123893805
7937116986.jpg,3.57425742574257
5079448176.jpg,3.57407407407407
9251645143.jpg,3.57407407407407
5543296873.jpg,3.57281553398058
2818844013.jpg,3.57142857142857
7163375274.jpg,3.57142857142857
4640205988.jpg,3.57009345794393
6608109869.jpg,3.56862745098039
3073970642.jpg,3.56481481481481
3423896683.jpg,3.56190476190476
3645793167.jpg,3.56122448979592
2952066894.jpg,3.56
9490079439.jpg,3.55769230769231
5365003071.jpg,3.55555555555556
411025625.jpg,3.55555555555556
6986935908.jpg,3.55339805825243
8233745351.jpg,3.5530303030303
4420506536.jpg,3.55140186915888
3463146453.jpg,3.54901960784314
3948135332.jpg,3.54782608695652
5951267818.jpg,3.54716981132075
8647880189.jpg,3.54545454545455
5195185160.jpg,3.54455445544554
6829189111.jpg,3.54285714285714
2939787669.jpg,3.54205607476635
2444937456.jpg,3.53982300884956
6059676315.jpg,3.53703703703704
6900924910.jpg,3.53703703703704
8421980802.jpg,3.53636363636364
5217952997.jpg,3.53636363636364
6965249888.jpg,3.5360824742268
9768559232.jpg,3.53333333333333
8716882404.jpg,3.53271028037383
