filename,label,brightness,contrast,sharpness,dark_pixel_ratio,bright_pixel_ratio,saturation,edge_density,noise_level,entropy,gradient_mean,gradient_std,strong_edge_ratio,local_contrast_mean,local_contrast_std,patch_intensity_std,patch_intensity_range,extreme_pixel_ratio,laplacian_extreme_ratio
koniq_10004473376_blur_0.jpg,blur,99.9197,64.2561,8.4662,0.1462,0.0853,75.2811,0.0121,0.7138,7.6706,35.0378,37.3339,0.0204,15.7784,13.7942,32.4724,110.845,0.0304,0.0162
koniq_10069534975_blur_0.jpg,blur,119.1728,44.7971,13.7834,0.0456,0.0,136.8224,0.0229,0.9132,7.3072,36.8183,44.4913,0.0356,15.6317,14.4686,22.2498,98.8118,0.003,0.0194
koniq_10218118033_blur_0.jpg,blur,113.3409,66.2038,35.8586,0.2006,0.0602,154.5005,0.056,1.4783,7.8501,58.8305,64.3822,0.1103,25.3261,17.7349,33.6557,120.0248,0.0654,0.0157
koniq_10362672006_blur_0.jpg,blur,99.8862,44.845,19.5407,0.0711,0.0048,132.9158,0.0202,1.0905,7.4411,46.3496,38.0221,0.0239,17.5716,10.7641,27.5734,93.5866,0.0121,0.0143
koniq_10423472445_blur_0.jpg,blur,82.8185,63.0959,59.4701,0.3628,0.0491,80.4193,0.0372,1.8702,7.4889,36.4755,70.5184,0.0664,16.233,20.196,34.544,119.8353,0.1551,0.0291
koniq_10446810546_blur_0.jpg,blur,90.2955,56.3877,21.3183,0.2002,0.0313,127.8605,0.0389,1.1236,7.5999,41.2542,46.6284,0.0468,17.0312,13.1393,33.3677,117.7664,0.0549,0.0176
koniq_10597114264_blur_0.jpg,blur,84.5019,60.6059,92.9217,0.2937,0.0076,151.2306,0.0581,2.3228,7.506,55.8073,75.2798,0.0954,22.0871,19.2224,29.0792,112.9982,0.1254,0.0198
koniq_10615424764_blur_0.jpg,blur,190.8011,97.6186,8.1531,0.1151,0.6939,5.9058,0.0069,0.7047,3.4327,16.2484,48.4109,0.0283,8.942,18.553,74.4804,182.7038,0.7436,0.0254
koniq_10680502673_blur_0.jpg,blur,170.1072,19.7652,3.728,0.0,0.0145,78.6272,0.0,0.4573,6.3098,18.7675,15.1662,0.0,7.9818,4.675,9.6378,35.647,0.0007,0.009
koniq_107799222_blur_0.jpg,blur,189.2081,28.3978,3.281,0.0066,0.0278,10.751,0.004,0.3964,5.582,13.7896,24.9294,0.0077,6.3908,9.9644,14.2618,50.4779,0.0029,0.0157
koniq_10828395135_blur_0.jpg,blur,116.7977,27.4192,6.6696,0.0024,0.0037,113.1792,0.0058,0.6196,6.7126,21.2533,23.3665,0.003,8.7831,7.4943,12.8892,44.4073,0.0,0.0176
koniq_10866561184_blur_0.jpg,blur,189.1171,39.4088,7.7769,0.0,0.3178,78.0182,0.0067,0.6715,6.9789,23.3177,26.2943,0.0057,9.7706,8.1188,25.2395,110.5414,0.0011,0.025
koniq_10899733355_blur_0.jpg,blur,134.8779,42.7281,10.2117,0.0134,0.0294,112.5024,0.0039,0.7968,7.4394,41.2094,25.1017,0.0016,16.4432,6.7973,26.3194,97.8394,0.0036,0.0118
koniq_10921653346_blur_0.jpg,blur,42.3157,45.5949,21.6624,0.5648,0.0039,194.4168,0.0255,1.131,6.5748,35.0698,56.8893,0.0494,14.5949,17.1984,27.4187,82.0737,0.4287,0.0235
koniq_10953973716_blur_0.jpg,blur,78.4966,32.4471,53.169,0.1059,0.0014,190.8882,0.0361,1.7622,6.9444,40.62,48.9142,0.0436,13.6156,11.678,18.1358,64.2008,0.0056,0.0227
koniq_11159983896_blur_0.jpg,blur,117.5284,85.4605,3.8499,0.2344,0.2436,69.9574,0.0022,0.4545,7.5449,17.8127,22.4559,0.0024,8.2293,8.7562,76.9083,221.1764,0.1447,0.0183
koniq_11250215644_blur_0.jpg,blur,146.7953,55.2667,31.658,0.0513,0.0466,110.1767,0.0379,1.3641,7.6038,37.4315,52.9547,0.0583,15.4999,14.2598,38.9192,124.6047,0.0291,0.0231
koniq_11269626135_blur_0.jpg,blur,81.1239,55.9328,73.891,0.319,0.0206,127.9684,0.0866,2.0865,7.5306,66.4237,72.462,0.1349,25.56,17.2924,26.3181,99.0633,0.0899,0.0183
koniq_11273190884_blur_0.jpg,blur,164.1787,67.2572,143.2531,0.0319,0.3242,129.7613,0.1025,2.8657,7.7212,79.1282,86.5412,0.1655,29.3829,19.9897,36.0608,106.5806,0.17,0.0199
koniq_11321228905_blur_0.jpg,blur,99.0192,58.2277,13.5529,0.1179,0.0179,162.3369,0.0128,0.8999,7.5756,29.4098,33.7703,0.0181,11.3346,10.5595,42.839,141.0078,0.0494,0.0203
koniq_11369797883_blur_0.jpg,blur,69.493,54.7725,6.9785,0.4435,0.0036,191.1805,0.014,0.6394,7.2959,31.6537,38.4421,0.0152,15.1608,14.3807,32.7512,106.4454,0.1264,0.0186
koniq_1360663704_blur_0.jpg,blur,112.1832,40.8387,12.0598,0.0351,0.0001,150.7674,0.0142,0.8453,7.3088,33.1273,34.7126,0.014,13.2449,11.1538,25.1068,73.1681,0.0017,0.0214
koniq_136948336_blur_0.jpg,blur,118.033,81.9371,149.8293,0.2657,0.2056,59.8237,0.0888,2.9542,7.8063,73.2702,90.5099,0.1523,29.1955,21.4369,52.4183,180.2476,0.1363,0.0218
koniq_1519242706_blur_0.jpg,blur,175.3624,45.7456,11.8794,0.0066,0.2014,83.6028,0.0094,0.8424,7.0605,21.5647,36.454,0.0208,8.2456,10.9935,35.8237,92.1856,0.0143,0.022
koniq_2044507520_blur_0.jpg,blur,75.4684,18.7,1.944,0.0042,0.0015,169.1067,0.0039,0.3141,5.4958,5.543,20.0136,0.0037,2.7924,7.8915,9.5383,31.3414,0.0003,0.0205
koniq_2152767186_blur_0.jpg,blur,66.6093,30.0347,8.6794,0.1831,0.0061,231.4934,0.0141,0.6929,6.5034,18.3348,37.5828,0.0252,8.4898,12.4446,16.6749,55.1418,0.0022,0.0185
koniq_234944177_blur_0.jpg,blur,175.4636,52.9245,3.6743,0.0172,0.2544,99.9759,0.0042,0.4309,7.4352,18.5355,25.9514,0.0097,8.949,10.3904,37.5468,125.7297,0.0533,0.0168
koniq_2362202039_blur_0.jpg,blur,142.859,22.2143,5.7603,0.0044,0.0015,122.8183,0.0094,0.5716,4.9501,11.3411,30.2468,0.0116,5.1238,10.2003,5.5551,17.7644,0.0,0.0241
koniq_2444937456_blur_0.jpg,blur,183.7618,30.2515,8.8832,0.0006,0.0648,99.6693,0.0027,0.7415,6.6864,29.087,21.2518,0.0031,10.5666,6.743,19.5963,77.7763,0.0058,0.0091
koniq_2517718928_blur_0.jpg,blur,71.8806,53.6556,43.4593,0.3927,0.0048,20.8001,0.0297,1.5741,7.2683,37.9235,40.2559,0.0264,14.1096,11.3384,34.5096,109.5795,0.0289,0.0226
koniq_2578890441_blur_0.jpg,blur,111.8839,61.7073,42.9443,0.1045,0.091,125.7352,0.0548,1.5897,7.7579,51.3418,57.2017,0.0709,19.8344,15.2188,41.0436,142.3875,0.0429,0.0194
koniq_2785267250_blur_0.jpg,blur,159.7583,97.4292,6.5867,0.2004,0.4789,40.2116,0.0133,0.6195,5.9882,22.399,43.135,0.0308,11.1941,17.0342,82.0377,230.1609,0.5358,0.0287
koniq_2808286292_blur_0.jpg,blur,125.249,77.2882,9.0623,0.1239,0.1974,67.4241,0.0177,0.7434,7.3872,39.3911,42.0834,0.0317,18.2465,15.3357,54.5021,163.7568,0.196,0.0178
koniq_2818844013_blur_0.jpg,blur,168.5179,80.2722,35.7625,0.075,0.4366,46.6578,0.0596,1.4646,7.3949,56.7992,62.613,0.0939,22.766,18.0024,64.9013,187.8333,0.3572,0.0168
koniq_2839494557_blur_0.jpg,blur,119.0747,32.3121,45.0764,0.028,0.0011,137.2652,0.0156,1.5875,6.9288,37.3989,32.3616,0.0161,11.5623,8.0244,16.2947,66.229,0.0001,0.0169
koniq_2937190977_blur_0.jpg,blur,118.5833,83.1318,48.4093,0.2676,0.1144,68.203,0.055,1.6906,7.6346,45.5425,60.0024,0.0742,17.0142,15.8956,67.7405,210.0383,0.2148,0.0237
koniq_2939787669_blur_0.jpg,blur,113.3377,80.4802,145.4439,0.2396,0.1833,61.7665,0.1129,2.8942,7.3491,74.8365,84.7804,0.1715,26.75,18.7029,55.6479,173.7564,0.1881,0.0192
koniq_2941933060_blur_0.jpg,blur,168.112,69.4038,57.1364,0.031,0.3614,122.7929,0.0304,1.8092,6.5399,36.3484,50.6584,0.0356,11.9076,14.0427,54.3902,169.3236,0.3129,0.0197
koniq_2964711556_blur_0.jpg,blur,163.6798,73.233,16.203,0.0234,0.415,82.659,0.036,0.9782,7.394,40.6579,57.6446,0.0753,19.865,19.6748,37.1572,136.1419,0.0714,0.0231
koniq_2990464677_blur_0.jpg,blur,126.5387,94.6988,5.1595,0.2639,0.3174,146.8203,0.0095,0.5453,7.4473,27.6262,37.9684,0.0177,14.0419,15.5428,71.7579,232.9119,0.3654,0.0204
koniq_3026852045_blur_0.jpg,blur,19.0491,34.1319,15.1749,0.8438,0.0074,36.6036,0.0177,0.9568,4.5986,30.2365,40.1515,0.0159,11.4333,12.2455,7.581,26.1264,0.6389,0.017
koniq_3073970642_blur_0.jpg,blur,66.8176,51.1409,42.6062,0.4391,0.0167,208.1781,0.0214,1.5949,7.1061,26.5703,61.2054,0.0482,10.231,15.9939,37.628,122.6063,0.1272,0.0306
koniq_313424539_blur_0.jpg,blur,64.6772,35.4107,29.5744,0.2262,0.0043,100.689,0.0282,1.3188,6.9534,37.6492,47.0761,0.037,14.2634,13.0453,14.3023,48.9994,0.0171,0.0228
koniq_318700026_blur_0.jpg,blur,109.9099,50.6236,4.0977,0.1069,0.0493,140.4644,0.0051,0.4641,7.409,21.4674,23.5591,0.0026,10.0876,9.017,32.0512,153.0314,0.0122,0.0183
koniq_3253636665_blur_0.jpg,blur,143.7277,61.1104,6.0214,0.1101,0.0204,76.1161,0.0102,0.5939,7.3538,27.0207,32.767,0.0072,12.4261,12.5754,44.6143,132.4862,0.0035,0.0238
koniq_3255665645_blur_0.jpg,blur,176.5047,53.4459,20.1532,0.0019,0.2977,108.1346,0.0188,1.0962,7.4055,30.1531,36.3854,0.0154,11.6408,9.63,41.5435,123.0371,0.1355,0.0191
koniq_3315237185_blur_0.jpg,blur,131.163,59.9725,4.751,0.0806,0.0,154.0921,0.0043,0.5141,7.4377,24.1372,27.7738,0.0038,11.1615,10.4952,46.5573,147.8452,0.0145,0.0144
koniq_3320115265_blur_0.jpg,blur,166.8731,55.529,153.4944,0.0214,0.2171,52.8041,0.1917,3.0109,7.6829,119.0501,78.9851,0.3042,37.9753,12.9677,21.7539,76.4814,0.0723,0.0081
koniq_3362731032_blur_0.jpg,blur,88.5263,53.8342,6.2838,0.2866,0.004,204.1452,0.0105,0.5853,7.259,13.9683,32.3328,0.0165,7.107,11.8762,37.3455,132.1761,0.0652,0.0246
koniq_3367220434_blur_0.jpg,blur,47.4641,50.4011,10.4245,0.5943,0.0001,146.0368,0.0095,0.7797,6.3799,19.1587,33.5141,0.0126,8.7542,10.4048,38.1563,135.5884,0.4392,0.0234
koniq_3423896683_blur_0.jpg,blur,128.2531,70.947,87.0949,0.121,0.1515,139.8596,0.091,2.2926,7.9504,85.3988,77.5519,0.1784,33.3807,17.8383,28.8558,89.8268,0.0791,0.0144
koniq_3463146453_blur_0.jpg,blur,188.6513,90.326,7.659,0.113,0.617,13.9716,0.0202,0.6784,4.7824,29.9798,52.7116,0.0528,15.0188,20.9645,60.5753,192.6806,0.6149,0.0262
koniq_3662997757_blur_0.jpg,blur,110.1633,91.7685,16.618,0.3928,0.2696,40.1094,0.0274,0.9878,7.2105,33.723,50.1088,0.0412,14.9846,16.7748,79.8683,223.5617,0.2349,0.0212
koniq_3773463532_blur_0.jpg,blur,116.5205,54.0221,19.8666,0.0246,0.0534,76.4714,0.0181,1.0772,7.5273,32.492,36.8112,0.0215,12.7816,12.0973,31.5309,108.0925,0.005,0.0245
koniq_3815098207_blur_0.jpg,blur,80.9258,51.9662,13.6243,0.1721,0.0207,133.6878,0.0172,0.8979,7.2444,32.9405,39.1961,0.0225,13.4715,12.7069,32.1244,108.8651,0.0142,0.0218
koniq_3921589638_blur_0.jpg,blur,103.7699,71.6975,15.8356,0.3263,0.0083,126.5109,0.0278,0.9666,7.5208,38.7886,51.2619,0.0507,18.5303,17.1742,44.0427,152.4361,0.1687,0.0219
koniq_3948135332_blur_0.jpg,blur,138.539,39.5045,7.5551,0.0199,0.0018,115.7157,0.0078,0.6812,7.1942,31.8932,27.8089,0.0083,13.8067,9.9516,18.3461,63.0505,0.0025,0.0157
koniq_3961459513_blur_0.jpg,blur,169.1417,43.4163,25.1178,0.0199,0.0582,88.7391,0.0198,1.222,7.077,40.792,41.9982,0.0322,15.5326,12.7448,11.9739,54.6252,0.0017,0.019
koniq_411025625_blur_0.jpg,blur,139.2488,89.2563,5.4487,0.2193,0.4793,30.5877,0.0073,0.5582,6.4546,20.0862,40.1165,0.0274,10.2382,16.4578,69.3449,179.0427,0.0366,0.0211
koniq_4185039279_blur_0.jpg,blur,160.7467,76.3051,18.1931,0.0874,0.4511,33.6003,0.0313,1.0433,7.1262,40.7846,56.1346,0.0667,17.7879,19.2441,56.8417,183.8096,0.008,0.019
